" : professor-subject
" "Профессор_МакГонагалл трансфигурация
" "Профессор_Трелони прорицания
" Профессор_Флитвик чары
" "Профессор_Стебль травология

: Yule_ball-gentleman-lady
Гарри Парвати_Патил
Симус_Финниган Лаванда_Браун
Драко_Малфой Пэнси_Паркинсон
Седрик_Диггори Чжоу_Чанг
Виктор_Крам Гермиона_Грейнджер

: House-head_of_the_House
Гриффиндор Профессор_МакГонагалл
Пуффендуй Профессор_Стебль
Когтевран Профессор_Флитвик

: wife-husband
Ханна_Аббот Невилл_Долгопупс
Гермиона_Грейнджер Рональд_Уизли

: character-where_they_work
Мадам_Розмерта паб
Мадам_Помфри больница
Мадам_Малкин магазин
Мадам_Пинс библиотека

: character-creature
Миссис_Норрис кот
"Миссис_Фигг сквиб
Миссис_Дурсли магл
Миссис_Долгопупс ведьма
Миссис_Блэк ведьма
Мистер_Уизли волшебник
"Мистер_Филч сквиб
Мистер_Малфой волшебник
Мистер_Робертс магл

: character-love_interest
Кормак_Маклагген Гермиона_Грейнджер
Лаванда_Браун Рональд_Уизли
Гарри_Поттер Чжоу_Чанг
Виктор_Крам Гермиона_Грейнджер

: Gryffindor-Quidditch-team
Кэти_Белл охотник
Анджелина_Джонсон охотник
Алисия_Спиннет охотник
"Джордж_Уизли загонщик
Оливер_Вуд вратарь
"Гарри_Поттер ловец

:end
