: firstname-lastname
Джейме Ланнистер
Серсея Ланнистер
Тирион Ланнистер
Тайвин Ланнистер
Киван Ланнистер
Лансель Ланнистер
Робб Старк
Нед Старк
Кейтилин Старк
Лианна Старк
Арья Старк
Санса Старк
Бран Старк
Рикон Старк
Джон Сноу
Лиза Аррен
Русе Болтон
Рамси Сноу
Сэмвел Тарли
Роберт Баратеон
Джоффри Баратеон
Томмен Баратеон
Ширен Баратеон
Мирцелла Баратеон
Ренли Баратеон
Станнис Баратеон
Бейлон Грейджой
Теон Грейджой
Аша Грейджой
Эурон Грейджой
Виктарион Грейджой
Дейенерис Таргариен
Визерис Таргариен
Рейегар Таргариен
Эйерис Таргариен
Эйемон Таргариен
Лорас Тирелл
Маргери Тирелл
Оленна Тирелл
Барристан Селми
Петир Бейлиш
Эдмар Талли
Хостер Талли
Уолдер Фрей
Давос Сиворт
Сандор Клиган
Оберин Мартелл
Тормунд Великанья_Смерть
Джорах Мормонт
Джиор Мормонт
Доран Мартелл

: child-father
Робб Нед
Арья Нед
Рикон Нед
Санса Нед
Бран Нед
Джейме Тайвин
Тирион Тайвин
Серсея Тайвин
Теон Бейлон
Аша Бейлон
Джоффри Роберт
Дейенерис Эйерис
Визерис Эйерис
Ширен Станнис
Джорах Джиор


: bastard-child-father
Джон Нед
Рамси Русе
Джендри Роберт


: husband-wife
Нед Кейтилин
Станнис Селиса
Тайвин Джоанна
Дрого Дейенерис
Эдмар Рослин
Джоффри Маргери

" geographic name -- class 
: geo-name-location
Браавос город
Лисс город
Мир город
Пентос город
Волантис город
Тирош город
Норвос город
Хайгарден город
Старомест город
Ланниспорт город
Чаячий город
Ройн река
Трезубец река
Пайк остров
Клыки_Мороза гора
Мандер река
Скагос остров

: houses-seats 
Старк Винтерфелл
Грейджой Пайк
Талли Риверран
Аррен Орлиное_Гнездо
Тирелл Хайгарден
Мартелл Солнечное_Копье

: name-animal-type
Визерион дракон
Рейегаль дракон
Дрогон дракон
Балерион дракон
Лохматик лютоволк
Нимерия лютоволк
Призрак лютоволк


: Sigil_animal-house
олень Баратеон
роза Тирелл
лев Ланнистер
кракен Грейджой
лютоволк Старк
форель Талли
дракон Таргариен

:end
